,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Drop_Down
2456,601163,三角轮胎,汽车配件,山东,34.27,2.0,8.0,1293389.63,761960.31,387679.5,412397.31,5.15,0.92,9.48,3.42,20160909,196386.7,2.45,0.0,0.0,26.88,11.46,136780,-43.54
2728,603909,合诚股份,建筑施工,福建,96.55,0.25,1.0,64846.51,51591.43,9383.28,21466.53,2.15,0.47,5.57,8.97,20160628,22802.51,2.28,0.0,0.0,41.64,20.66,18484,-43.51
188,002806,华锋股份,元器件,广东,192.6,0.2,0.8,54206.17,32981.15,15137.62,8258.58,1.03,0.24,4.31,14.32,20160726,16503.92,2.06,0.0,0.0,18.67,7.34,18404,-43.4
3116,603966,法兰泰克,机械基件,江苏,130.75,0.4,1.6,73405.46,52539.18,0.0,0.0,0.0,0.228,4.12,9.66,20170125,0.0,0.0,0.0,0.0,0.0,9.91,38467,-43.17
740,002778,高科石化,石油加工,江苏,103.08,0.45,0.89,73342.65,56890.21,8745.8,21435.85,2.41,0.282,6.58,5.9,20160106,25637.8,2.88,-7.26,-16.09,15.24,6.12,14453,-43.07
2026,600977,中国电影,影视音像,北京,49.9,4.67,18.67,1425109.38,1043929.13,254368.55,422453.44,2.26,0.48,5.13,4.8,20160809,314685.84,1.69,0.0,0.0,20.56,11.17,203163,-42.75
49,002851,麦格米特,电气设备,深圳,129.8,0.45,1.78,144212.88,105224.8,20755.74,14447.54,0.81,0.617,5.17,15.48,20170306,37734.93,2.12,41.98,93.85,33.77,9.5,81113,-42.72
2882,603203,快克股份,专用机械,江苏,64.01,0.23,0.92,31503.91,24610.15,3820.6,5890.22,0.64,0.749,3.53,18.11,20161108,8814.1,0.96,0.0,0.0,56.1,32.82,25385,-42.67
1217,002839,张家港行,银行,江苏,77.41,1.81,18.08,8756601.0,0.0,0.0,0.0,0.0,0.285,4.59,6.42,20170124,0.0,0.0,-2.14,-4.09,0.0,29.35,298143,-42.61
411,300558,贝达药业,化学制药,浙江,69.88,0.41,4.01,147507.23,74535.5,0.0,0.0,0.0,0.769,3.33,21.52,20161107,0.0,0.0,0.0,0.0,0.0,39.16,70719,-42.61
3148,300619,金银河,专用机械,广东,138.04,0.19,0.75,43268.73,31554.3,6515.23,3363.31,0.45,0.577,3.66,21.78,20170301,9699.42,1.3,61.91,80.1,33.63,14.73,34311,-42.46
3144,603665,康隆达,纺织,浙江,74.69,0.25,1.0,78034.21,33193.23,28606.93,12895.71,1.29,0.938,4.96,14.12,20170313,13567.73,1.36,16.73,49.74,33.54,13.09,24566,-42.27
2134,603060,国检集团,建筑施工,北京,70.19,0.55,2.2,76181.61,28858.69,22803.7,0.0,0.0,0.386,2.36,15.3,20161109,19252.86,0.88,0.0,0.0,49.65,18.72,50580,-42.2
2591,603738,泰晶科技,元器件,湖北,90.0,0.17,0.67,75663.43,53462.05,19094.81,26720.73,4.01,0.79,7.89,8.99,20160928,17487.6,2.62,0.0,0.0,36.99,15.03,15381,-41.97
2509,603919,金徽酒,白酒,甘肃,38.34,0.89,2.8,194236.48,66277.65,97026.49,73797.81,2.64,0.62,5.64,5.19,20160310,52118.53,1.86,0.0,0.0,61.89,17.31,34977,-41.88
3124,603881,数据港,互联网,上海,190.06,0.53,2.11,108636.36,24827.35,51951.32,4575.37,0.22,0.27,2.5,27.44,20170208,18443.53,0.88,0.0,0.0,40.52,19.59,50979,-41.83
2322,601595,上海电影,影视音像,上海,60.38,0.94,3.74,258900.3,173048.77,21620.34,82026.93,2.2,0.6,5.0,7.67,20160817,61055.95,1.63,0.0,0.0,33.6,23.57,50907,-41.72
701,603630,拉芳家化,日用化工,广东,80.46,0.44,1.74,107976.85,85920.31,7582.85,16333.92,0.94,0.857,6.42,10.74,20170313,49240.78,2.82,6.53,4.65,59.19,14.25,44166,-41.67
1218,002816,和科达,专用机械,深圳,154.82,0.25,1.0,48635.26,41085.73,4386.7,5612.68,0.56,0.195,4.37,9.19,20161025,19063.25,1.91,0.0,0.0,34.77,8.04,45922,-41.65
1221,002803,吉宏股份,广告包装,福建,132.75,0.29,1.16,68117.68,34826.35,24435.05,14304.69,1.23,0.32,3.63,12.49,20160712,15177.67,1.31,0.0,0.0,20.8,7.18,21617,-41.56
515,603393,新天然气,供气供热,新疆,54.48,0.4,1.6,197829.0,130871.47,56689.38,117074.22,7.32,1.0,10.66,5.09,20160912,27113.8,1.69,0.0,0.0,31.38,20.88,36934,-41.55
3096,603615,茶花股份,塑料,福建,86.96,0.6,2.4,92314.68,50840.93,35114.76,27307.65,1.14,0.51,4.64,7.14,20170213,35142.15,1.46,-1.38,1.43,33.28,13.63,58042,-41.55
3147,603908,牧高笛,纺织,浙江,106.0,0.17,0.67,36211.3,30778.63,3026.7,1783.14,0.27,0.712,3.88,19.47,20170307,10333.19,1.55,-5.32,-12.46,34.43,11.02,15567,-41.54
2932,603569,长久物流,仓储物流,北京,50.05,0.4,4.0,292205.41,220297.91,10231.98,54737.69,1.37,0.63,4.27,8.92,20160810,55913.07,1.4,0.0,0.0,15.1,8.76,28803,-41.49
3075,603737,三棵树,染料涂料,福建,104.47,0.25,1.0,142248.55,75694.21,30474.64,32144.93,3.21,0.61,8.96,8.13,20160603,43658.98,4.37,0.0,0.0,45.51,4.28,23241,-41.38
3028,601882,海天精工,机床制造,浙江,220.59,0.52,5.22,191617.48,108154.9,65894.71,28705.75,0.55,0.13,2.07,12.91,20161107,23753.81,0.46,1.68,8.32,26.09,6.28,30592,-41.09
3138,002852,道道全,食品,湖南,66.2,0.25,1.0,120132.57,65107.86,11516.05,12104.45,1.21,2.057,8.85,15.38,20170310,41741.8,4.17,23.09,12.45,16.58,7.65,45972,-41.0
1033,603101,汇嘉时代,百货,新疆,72.0,0.6,2.4,206561.75,40967.32,82675.17,43718.01,1.82,0.29,4.89,4.95,20160506,46277.73,1.93,0.0,0.0,17.21,3.16,29218,-40.96
3130,603036,如通股份,专用机械,江苏,131.1,0.51,2.03,73579.56,56679.8,13282.86,15650.63,0.77,0.234,4.15,9.87,20161209,29454.93,1.45,0.0,0.0,48.87,28.01,47504,-40.91
3153,603007,花王股份,建筑施工,江苏,91.98,0.33,1.33,159258.19,106922.42,2671.26,37764.8,2.83,0.6,6.17,9.22,20160826,27960.08,2.1,0.0,0.0,28.7,14.97,23153,-40.85
3066,603716,塞力斯,医药商业,湖北,88.61,0.13,0.51,109248.1,88978.77,16023.69,49088.95,9.64,1.71,16.56,7.24,20161031,28061.88,5.51,18.44,12.14,34.83,10.99,10729,-40.8
3080,002790,瑞尔特,家居用品,福建,41.75,0.4,1.6,144864.75,103922.56,37686.71,66656.49,4.17,0.762,8.15,5.2,20160308,42612.68,2.66,-0.36,11.59,36.91,20.35,18177,-40.54
1161,300518,盛讯达,软件服务,深圳,106.25,0.23,0.93,112545.55,91486.3,2683.15,49044.05,5.25,1.22,11.23,10.1,20160624,41955.18,4.49,1.72,8.18,83.53,48.09,22450,-40.5
3082,300539,横河模具,塑料,浙江,135.95,0.24,0.95,46089.71,21780.28,17634.09,12448.66,1.31,0.31,3.56,12.39,20160830,11064.25,1.16,0.0,0.0,24.04,8.0,16809,-40.48
3057,603238,诺邦股份,纺织,浙江,91.95,0.3,1.2,49722.35,13150.3,0.0,0.0,0.0,0.384,4.13,11.39,20170222,0.0,0.0,0.0,0.0,26.2,12.12,28023,-40.48
3118,300597,吉大通信,通信设备,吉林,144.18,0.6,2.4,55637.68,51415.14,2847.8,0.0,0.0,0.151,2.21,13.11,20170123,19615.4,0.82,0.0,0.0,28.06,13.22,105074,-40.4
78,002805,丰元股份,化工原料,山东,208.93,0.24,0.97,56058.46,28193.39,18720.27,15812.97,1.63,0.23,5.5,9.26,20160707,24472.78,2.53,0.0,0.0,20.92,9.41,17510,-40.26
3068,603690,至纯科技,专用机械,上海,125.13,0.52,2.08,57301.45,43935.48,11052.0,523.47,0.03,0.172,1.82,15.81,20170113,11244.19,0.54,34.16,210.45,37.51,20.03,46477,-40.01
3109,002842,翔鹭钨业,小金属,广东,95.26,0.25,1.0,75118.06,58211.16,0.0,0.0,0.0,0.472,6.07,9.88,20170119,0.0,0.0,-9.9,12.29,0.0,9.12,48379,-40.0
2779,002811,亚泰国际,装修装饰,深圳,79.73,0.45,1.8,236294.0,211036.2,1598.68,61710.43,3.43,0.46,6.76,5.43,20160908,37842.68,2.1,0.0,0.0,17.3,4.82,36146,-39.92
1220,002812,创新股份,广告包装,云南,50.46,0.33,1.34,181905.88,122451.47,48755.28,95155.96,7.11,1.07,11.34,4.9,20160914,35300.8,2.64,0.0,0.0,27.99,13.72,27326,-39.87
2217,601900,南方传媒,出版业,广东,26.62,1.76,8.19,865504.13,612700.81,58747.8,108320.36,1.32,0.44,4.33,3.47,20160215,156058.98,1.91,10.67,1.42,28.03,9.04,68549,-39.84
1851,300598,诚迈科技,软件服务,江苏,102.89,0.2,0.8,36148.94,28534.97,839.49,5471.66,0.68,0.84,4.62,14.07,20170120,14660.72,1.83,14.69,17.55,31.55,10.0,16178,-39.57
3064,603839,安正时尚,服饰,浙江,50.72,0.71,2.85,178508.66,90542.8,54413.95,520.0,0.02,1.1,6.0,7.0,20170214,95596.18,3.35,-1.53,-3.21,70.63,19.57,62798,-39.56
2840,601212,白银有色,铜,甘肃,354.72,6.98,69.73,4036600.75,2054398.25,536928.69,324990.94,0.47,0.032,1.83,8.35,20170215,279442.88,0.4,0.0,0.0,2.37,0.47,526296,-39.53
1648,002797,第一创业,证券,深圳,117.99,2.19,21.89,3170030.5,0.0,14238.92,391114.03,1.79,0.27,3.93,7.7,20160511,146177.25,0.67,-32.64,-44.99,0.0,27.71,104901,-39.53
669,002848,高斯贝尔,通信设备,湖南,145.53,0.42,1.67,100493.42,79216.75,11689.78,12636.03,0.76,0.198,4.68,8.21,20170213,31510.65,1.89,0.0,0.0,26.77,5.17,72405,-39.36
238,601020,华钰矿业,铅锌,西藏,131.55,2.81,5.26,265324.47,71624.61,66542.5,35630.43,0.68,0.21,2.91,12.15,20160316,51105.35,0.97,0.0,0.0,63.9,26.7,25532,-39.32
2645,603819,神力股份,电气设备,江苏,112.73,0.3,1.2,55723.82,43261.05,7921.93,24484.95,2.04,0.289,5.43,8.01,20161125,12747.17,1.06,0.0,0.0,17.96,8.51,29748,-39.09
3101,603177,德创环保,环境保护,浙江,154.1,0.51,2.02,100971.78,83163.8,13589.65,1470.12,0.07,0.154,2.27,13.94,20170207,14785.67,0.73,0.0,0.0,31.08,6.77,45947,-38.97
2928,603556,海兴电力,电器仪表,浙江,38.23,0.93,3.73,292752.94,234531.22,26280.3,35653.23,0.95,0.97,6.81,7.26,20161110,112131.42,3.0,0.0,0.0,46.65,25.75,86348,-38.97
462,300534,陇神戎发,中成药,甘肃,170.95,0.22,0.87,76347.61,28225.23,34967.06,42215.07,4.87,0.67,8.12,11.48,20160913,17009.2,1.96,-2.77,-22.13,36.25,17.52,13596,-38.94
2789,300549,优德精密,专用机械,江苏,106.92,0.17,0.67,61923.8,49988.6,9121.66,24063.86,3.61,0.66,6.27,11.25,20160930,9507.13,1.43,0.0,0.0,35.35,12.7,14080,-38.87
2959,300602,飞荣达,元器件,深圳,70.14,0.25,1.0,78993.96,59788.05,9119.86,5789.02,0.58,0.758,6.86,10.34,20170126,35376.81,3.54,0.0,0.0,31.76,13.34,45581,-38.79
2801,002822,中装建设,装修装饰,深圳,55.08,0.75,3.0,252479.34,234171.84,12791.67,35477.35,1.18,0.385,5.39,5.25,20161129,58170.48,1.94,0.0,0.0,16.35,6.05,49317,-38.74
36,300625,三雄极光,半导体,广东,61.51,0.7,2.8,131153.77,94307.11,21518.42,814.9,0.03,0.881,3.49,15.51,20170317,43168.55,1.54,2.7,35.89,37.01,13.0,119575,-38.62
3136,300591,万里马,服饰,广东,198.64,0.6,2.4,71122.9,53925.05,15004.8,1451.95,0.06,0.113,1.51,19.87,20170110,7171.07,0.3,25.38,57.17,28.1,5.78,104334,-38.5
623,603958,哈森股份,服饰,江苏,88.08,0.54,2.17,143794.27,120383.75,14104.76,46205.46,2.13,0.31,5.27,5.7,20160629,41594.05,1.91,0.0,0.0,50.29,4.53,33732,-38.49
2038,603520,司太立,化学制药,浙江,64.79,0.65,1.2,183288.92,67966.53,54515.61,45597.76,3.8,0.57,6.64,6.76,20160309,19011.09,1.58,4.12,25.21,37.9,12.15,13678,-38.38
3069,603823,百合花,染料涂料,浙江,52.45,0.45,2.25,151072.94,0.0,0.0,0.0,0.0,0.5,3.91,8.93,20161220,0.0,0.0,17.34,14.08,0.0,10.98,39487,-38.31
1661,603608,天创时尚,服饰,广东,53.16,0.91,2.8,184079.34,142374.27,23969.06,84246.36,3.01,0.32,5.34,3.95,20160218,34021.73,1.22,0.0,0.0,58.26,7.67,28968,-38.22
3078,300582,英飞特,半导体,浙江,88.55,0.33,1.32,114044.76,24015.92,56775.4,13432.09,1.02,0.35,4.34,9.54,20161228,17939.39,1.36,22.74,-10.58,35.2,10.31,23743,-38.02
2613,603633,徕木股份,元器件,上海,98.93,0.3,1.2,83664.28,0.0,0.0,0.0,0.0,0.317,5.4,7.74,20161117,0.0,0.0,0.0,0.0,0.0,15.3,29238,-37.96
3125,603817,海峡环保,环境保护,福建,132.31,1.13,4.5,180461.13,26159.35,90670.5,31825.55,0.71,0.141,2.65,9.37,20170220,22613.6,0.5,0.0,0.0,50.53,25.87,103817,-37.7
22,300623,捷捷微电,半导体,江苏,83.0,0.24,0.94,57107.98,31056.77,14879.84,13454.97,1.44,1.244,7.13,14.47,20170314,25169.03,2.69,37.33,44.24,54.79,35.11,44549,-37.68
3127,603668,天马科技,饲料,福建,80.4,0.53,2.12,98112.68,63275.2,18413.71,2472.38,0.12,0.299,2.77,11.59,20170117,21620.03,1.02,11.15,38.07,22.74,9.77,54527,-37.59
193,300521,爱司凯,专用机械,广东,114.93,0.2,0.8,51195.3,47899.62,1275.32,20405.65,2.55,0.49,5.64,11.0,20160705,15755.07,1.97,0.0,0.0,51.31,23.55,16353,-37.32
16,603991,至正股份,塑料,上海,115.5,0.19,0.75,46582.14,26469.76,2225.7,8911.82,1.2,0.503,4.41,13.16,20170308,9107.85,1.22,16.69,11.27,27.33,10.67,17382,-37.31
2708,603033,三维股份,橡胶,浙江,59.64,0.23,0.91,101223.38,78051.67,16883.17,11071.11,1.22,0.643,10.43,4.9,20161207,49260.45,5.43,0.0,0.0,25.24,10.75,24421,-37.08
24,603955,大千生态,建筑施工,江苏,86.13,0.22,0.87,157274.13,118076.47,447.52,30958.35,3.56,0.801,10.53,6.55,20170310,27676.27,3.18,13.62,15.55,25.65,11.65,22110,-36.95
2054,600919,江苏银行,银行,江苏,10.89,11.54,115.44,159829248.0,0.0,553778.88,1607527.75,1.39,0.98,7.16,1.4,20160802,2287858.0,1.98,11.81,11.72,0.0,33.84,240799,-36.93
2439,603515,欧普照明,电气设备,上海,54.1,0.58,5.79,466552.69,328700.44,100637.22,104745.53,1.81,0.57,5.05,7.38,20160819,114739.07,1.98,0.0,0.0,41.09,8.24,41467,-36.63
99,002802,洪汇新材,化工原料,江苏,127.17,0.27,1.08,56769.01,40347.55,10842.82,23470.68,2.17,0.44,4.95,12.5,20160629,17256.21,1.6,0.0,0.0,32.33,17.55,20472,-36.6
2930,603977,国泰集团,化工原料,江西,61.87,0.55,2.21,120298.11,49227.05,47510.55,35863.21,1.62,0.59,4.48,6.31,20161111,35777.95,1.62,-2.32,4.05,46.87,21.39,35315,-36.59
2931,603878,武进不锈,钢加工,江苏,59.31,0.51,2.02,172152.67,116886.88,38053.25,41118.78,2.04,0.442,7.96,4.39,20161219,56448.5,2.79,0.0,0.0,20.77,9.01,47889,-36.44
424,300562,乐心医疗,医疗保健,广东,103.32,0.15,0.59,66210.05,51004.37,7215.97,25168.0,4.27,1.77,8.58,16.44,20161116,17228.9,2.92,22.52,60.44,33.05,10.45,11900,-36.42
3099,002850,科达利,机械基件,深圳,75.14,0.35,1.4,172321.41,91797.35,57926.5,22797.03,1.63,1.662,8.86,14.1,20170302,55362.57,3.95,28.45,50.61,30.49,15.99,62072,-36.41
3086,603218,日月股份,工程机械,浙江,61.24,0.41,4.01,256373.09,164865.98,0.0,0.0,0.0,0.604,4.45,11.09,20161228,0.0,0.0,-16.21,-17.24,0.0,20.78,40897,-36.38
39,603517,绝味食品,食品,湖南,48.66,0.5,4.1,196189.61,88594.86,43118.73,7250.18,0.18,0.928,4.07,11.09,20170317,96996.31,2.37,12.08,26.42,31.84,11.62,45759,-36.24
3123,300599,雄塑科技,塑料,广东,90.63,0.76,3.04,109598.9,50698.07,38369.56,17240.01,0.57,0.238,2.79,10.31,20170123,20844.02,0.69,0.0,0.0,22.98,8.81,129989,-36.17
2879,300593,新雷能,电气设备,北京,106.31,0.29,1.16,52312.09,40647.65,4011.13,8755.4,0.76,0.324,4.09,11.24,20170113,17059.2,1.48,9.45,16.91,47.09,14.05,51639,-36.1
1828,603798,康普顿,石油加工,山东,46.51,0.25,1.0,91166.86,59296.18,10367.66,36293.3,3.63,1.03,7.57,7.76,20160406,26228.9,2.62,0.0,0.0,36.99,15.35,15263,-36.06
2782,300583,赛托生物,生物制药,山东,85.32,0.27,1.07,94700.42,0.0,0.0,0.0,0.0,0.678,6.89,11.21,20170106,0.0,0.0,-21.75,-49.75,0.0,18.97,29692,-35.97
1377,603577,汇金通,钢加工,山东,116.07,0.29,1.17,101383.6,73521.3,20522.25,24119.0,2.07,0.395,5.96,10.26,20161222,17820.59,1.53,0.0,0.0,28.09,10.96,27115,-35.15
1812,300605,恒锋信息,软件服务,福建,120.28,0.21,0.84,40461.5,36524.46,3484.38,8335.95,0.99,0.465,3.69,15.13,20170208,7771.31,0.93,6.19,10.85,27.03,11.82,38588,-34.91
2997,300608,思特奇,软件服务,北京,0.0,0.17,0.67,66107.78,62968.28,1887.74,9622.9,1.43,-0.074,6.12,12.25,20170213,14058.8,2.09,0.0,0.0,35.86,-1.37,31067,-34.73
3036,002836,新宏泽,广告包装,广东,123.54,0.2,0.8,55036.01,33925.35,13758.05,11493.91,1.44,0.84,4.94,15.71,20161229,17163.85,2.15,10.05,37.68,38.81,18.75,8296,-34.61
3149,603186,华正新材,元器件,浙江,63.06,0.32,1.29,110635.36,75836.61,0.0,0.0,0.0,0.526,4.05,10.92,20170103,0.0,0.0,25.63,114.72,0.0,8.19,30121,-34.58
1405,603888,新华网,互联网,北京,83.01,0.52,2.08,189359.63,126243.7,5494.26,23866.25,1.15,0.774,7.51,11.41,20161028,69659.22,3.36,0.0,0.0,46.39,20.23,46234,-34.5
3002,300592,华凯创意,软件服务,湖南,126.15,0.31,1.22,64245.95,54895.88,6008.95,7359.74,0.6,0.231,3.49,11.12,20170120,15300.67,1.25,0.0,0.0,27.01,8.83,54563,-34.44
3104,300610,晨化股份,化工原料,江苏,77.16,0.25,1.0,45725.12,34945.35,5344.81,12699.3,1.27,0.457,5.07,9.28,20170213,13197.32,1.32,0.0,0.0,26.09,11.26,45000,-34.26
3120,601858,中国科传,出版业,北京,122.2,1.31,7.91,294155.75,0.0,0.0,0.0,0.0,0.116,2.99,6.35,20170118,0.0,0.0,0.0,0.0,0.0,8.5,120666,-34.06
2943,603319,湘油泵,汽车配件,湖南,87.93,0.2,0.81,80966.18,43656.84,29155.3,4352.12,0.54,0.463,6.59,8.24,20161130,25877.52,3.2,0.0,0.0,30.54,9.63,22415,-33.53
1162,300510,金冠电气,电气设备,吉林,107.67,0.44,1.74,80730.63,57932.75,10597.69,18981.97,1.09,0.34,3.44,10.14,20160506,21001.98,1.21,44.39,12.63,37.32,14.9,21495,-33.5
2905,300615,欣天科技,元器件,深圳,83.79,0.2,0.8,30486.28,20036.81,4913.51,1408.49,0.18,0.556,3.28,18.94,20170215,10280.98,1.29,0.0,0.0,48.93,25.46,36743,-33.38
20,300620,光库科技,元器件,广东,91.74,0.22,0.88,24316.84,21265.57,1330.56,6031.31,0.69,0.563,2.99,17.3,20170310,6138.6,0.7,28.3,62.44,49.01,28.1,41784,-33.35
3142,300616,尚品宅配,家居用品,广东,72.17,0.27,1.08,214996.52,121581.38,72835.47,3542.73,0.33,2.366,10.3,16.58,20170307,68781.35,6.37,30.39,83.12,46.19,6.35,48887,-33.18
2999,603377,东方时尚,汽车服务,北京,55.96,1.18,4.2,250959.55,109350.32,51023.55,75599.93,1.8,0.51,3.8,9.82,20160205,31028.3,0.74,-10.98,-22.25,53.61,23.08,11946,-33.14
3110,603689,皖天然气,供气供热,安徽,78.41,0.84,3.36,270016.03,54422.36,0.0,0.0,0.0,0.207,4.34,5.0,20170110,0.0,0.0,-24.26,-32.14,0.0,4.58,72083,-33.06
3097,603638,艾迪精密,专用机械,山东,81.39,0.44,1.76,62873.11,25333.25,0.0,0.0,0.0,0.326,3.65,9.69,20170120,0.0,0.0,0.0,0.0,22.76,19.6,46403,-32.72
2957,300581,晨曦航空,航空,陕西,197.3,0.11,0.45,36126.96,29118.44,4487.5,3604.6,0.8,0.479,7.09,17.77,20161220,14557.34,3.22,3.33,-0.65,47.49,18.86,20953,-32.7
121,300578,会畅通讯,通信设备,上海,126.61,0.18,0.72,20241.85,17271.92,2205.06,428.68,0.06,0.386,2.35,27.73,20170125,5314.89,0.74,0.0,0.0,49.15,14.42,32800,-32.63
735,603069,海汽集团,公路,海南,84.62,0.79,3.16,174968.25,71922.17,43410.53,36073.4,1.14,0.21,3.22,5.87,20160712,28742.11,0.91,0.0,0.0,21.71,6.39,39173,-32.49
3145,603165,荣晟环保,造纸,浙江,60.44,0.32,1.27,76767.7,0.0,0.0,0.0,0.0,0.568,3.69,12.39,20170117,0.0,0.0,24.63,37.35,0.0,11.21,30049,-32.35
3041,603058,永吉股份,广告包装,贵州,136.17,0.42,4.22,63957.38,31137.8,22434.73,0.0,0.0,0.16,1.53,18.98,20161223,0.0,0.0,-10.48,-5.53,0.0,30.02,37408,-32.22
3077,300603,立昂技术,通信设备,新疆,234.87,0.26,1.03,51134.3,40546.96,2000.05,6369.33,0.62,0.16,3.23,15.47,20170126,9188.88,0.9,0.0,0.0,22.79,8.33,49771,-32.16
1158,300543,朗科智能,电气设备,深圳,88.75,0.15,0.6,93959.78,58463.4,17960.95,33025.15,5.5,1.53,10.19,11.12,20160908,19725.01,3.29,31.13,22.1,18.2,8.18,14044,-32.12
3074,300572,安车检测,电器仪表,深圳,79.57,0.17,0.67,60667.19,52933.5,3942.51,7660.45,1.15,0.583,5.85,10.58,20161206,15201.12,2.28,0.0,0.0,47.34,17.61,12256,-32.07
2588,300566,激智科技,元器件,浙江,100.85,0.2,0.83,115909.72,60438.1,29516.93,6968.43,0.84,0.533,4.92,14.58,20161115,15088.3,1.82,0.0,0.0,31.27,10.15,14209,-32.05
3106,600996,贵广网络,影视音像,贵州,32.31,2.1,10.43,465794.0,118170.45,0.0,0.0,0.0,0.401,2.45,7.06,20161226,0.0,0.0,9.12,19.26,0.0,25.76,172067,-31.48
7,603388,元成股份,建筑施工,浙江,39.75,0.25,1.0,88525.96,77563.93,3067.37,11700.82,1.17,0.53,5.48,3.84,20170324,19665.52,1.97,22.99,8.56,24.79,9.72,27751,-31.43
2733,603027,千禾味业,食品,四川,57.5,0.67,1.6,102665.56,51821.76,44112.28,39539.43,2.47,0.67,5.57,6.46,20160307,30370.53,1.9,23.62,50.44,40.97,12.98,17123,-31.26
2971,300560,中富通,通信设备,福建,113.32,0.18,0.7,38418.71,35326.3,2352.32,5218.06,0.74,0.414,5.6,11.16,20161101,17392.32,2.48,0.0,0.0,29.61,11.84,13174,-31.24
2924,300586,美联新材,化工原料,广东,91.0,0.24,0.96,66841.36,48472.75,12249.36,28868.25,3.01,0.66,5.76,7.79,20170104,15137.87,1.58,20.5,14.93,23.05,11.33,13262,-31.06
867,002809,红墙股份,化工原料,广东,88.89,0.2,0.8,97798.21,87607.84,6940.77,43443.73,5.43,0.79,10.86,6.74,20160823,32910.19,4.11,0.0,0.0,33.85,16.11,23250,-31.04
3058,300587,天铁股份,橡胶,浙江,74.47,0.26,1.04,55684.0,41480.35,7935.56,16125.47,1.55,0.45,5.46,8.18,20170105,16339.59,1.57,6.97,16.24,73.11,24.26,46611,-31.03
3134,603929,亚翔集成,装修装饰,江苏,36.42,0.53,2.13,115025.65,110271.77,2156.11,10514.92,0.49,0.712,4.15,8.33,20161230,36964.55,1.73,0.0,0.0,13.95,8.5,50285,-31.02
9,603768,常青股份,汽车配件,安徽,39.1,0.51,2.04,153311.56,58885.82,64658.11,6359.89,0.31,0.727,4.88,5.83,20170324,48091.96,2.36,31.26,92.25,26.41,9.94,46888,-30.86
3117,603603,博天环境,环境保护,北京,134.17,0.4,4.0,489132.34,313059.56,0.0,0.0,0.0,0.23,2.35,17.5,20170217,0.0,0.0,0.0,0.0,23.81,5.15,36286,-30.81
